type,K,T1,T2,Td,zeta,omega_n,num,den,sprunghoehe_target,sprungzeit_target,Kp,Ki,Kd,Tu,Tg,Overshoot,Label,type_PT1,type_PT1+Td,type_PT2,type_PT2+Td,ISE
PT1,1.849384955665472,36.70664148961712,0.0,0.0,,,[1.8493849556654722],"[36.70664148961712, 1]",1,20,2.473804123719308,0.5351406894960854,0.7895487514029562,16.408204102051023,5.002501250625312,0.2704305891096826,good,True,False,False,False,0.0
PT1+Td,1.0961527570827332,41.18086474960205,0.0,3.608383141917694,,,[1.0961527570827332],"[41.18086474960205, 1]",1,20,2.6308725718873944,0.2402145180229458,0.9914746039641152,34.11705852926463,10.005002501250624,0.1738448446675256,good,False,True,False,False,7.626038719933793
PT1,2.5495277609030764,3.22266398414592,0.0,0.0,,,[2.5495277609030764],"[3.2226639841459197, 1]",1,20,2.519799326179313,0.7224052075177086,0.2769530763479535,95.84792396198098,0.6003001500750375,8.88178419700127e-16,good,True,False,False,False,0.0
PT1,0.6934118057735432,10.09581976546944,0.0,0.0,,,[0.6934118057735432],"[10.09581976546944, 1]",1,20,1.1574688149036678,0.5144323263075936,0.4223211761743218,16.608304152076037,5.9029514757378685,0.202771216287072,good,True,False,False,False,0.0
PT1,2.729475558709533,18.91864536115969,0.0,0.0,,,[2.729475558709533],"[18.91864536115969, 1]",1,20,1.0730238307396025,0.2249025095084719,0.9026126753311232,16.108054027013505,4.602301150575287,0.1746135163217702,good,True,False,False,False,0.0
PT2,1.7637796277349125,29.06280551061668,18.64286831123635,0.0,,,[1.7637796277349123],[541.81405589  47.70567382   1.        ],1,20,2.9795962596947736,0.0614178683787823,0.9898688667414546,33.216608304152075,14.207103551775887,0.2603596510672664,good,False,False,True,False,7.322526127338224
PT1+Td,1.0386591594654375,33.41721894119413,0.0,1.814717115448136,,,[1.0386591594654377],"[33.41721894119413, 1]",1,20,0.8688021105632333,0.8778123309745534,0.2372754623431252,18.309154577288645,6.903451725862931,0.5848577311104033,good,False,True,False,False,7.265314722748815
PT1,2.5676181312924298,43.88405509637752,0.0,0.0,,,[2.5676181312924298],"[43.884055096377516, 1]",1,20,1.1561470381541958,0.7571026459635911,0.8933597739575115,14.007003501750876,4.902451225612806,0.5091697089561972,good,True,False,False,False,0.0
PT2+Td,1.5814256232597064,11.53516142867678,9.74506578799765,0.3882955745764561,,,[1.5814256232597064],[112.410907    21.28022722   1.        ],1,20,2.927906926361558,0.5466370292511615,0.0179238048406964,14.807403701850925,5.9029514757378685,0.8460788762661573,good,False,False,False,True,0.0
PT1,2.8083081233259124,20.384215855737835,0.0,0.0,,,[2.8083081233259124],"[20.384215855737835, 1]",1,20,2.9986606073711566,0.4207504330670516,0.628393975869667,9.90495247623812,2.2011005502751373,0.0880827681393915,good,True,False,False,False,8.79564430716449
PT2,0.9283762250873366,6.261797455616551,21.513431649328144,0.0,,,[0.9283762250873366],[134.71275156  27.7752291    1.        ],1,20,2.5880006478265103,0.2977147280286035,0.8952712743629998,25.712856428214103,10.40520260130065,0.4002444543308996,good,False,False,True,False,8.025362695835025
PT2+Td,2.291596657572983,18.288010760916013,7.892498777370704,3.0677499499907754,,,[2.291596657572983],[144.33810257  26.18050954   1.        ],1,20,2.5269513967952397,0.307483341757532,0.4916239046031392,15.807903951975987,6.3031515757878935,0.599909539003309,good,False,False,False,True,0.0
PT1+Td,2.7461602483491374,6.42141884306427,0.0,4.456459556080447,,,[2.7461602483491374],"[6.42141884306427, 1]",1,20,2.583581457003808,0.5363914135129024,0.7320151682604132,6.103051525762881,0.9004502251125562,0.0206956651977443,good,False,True,False,False,0.0
PT2,2.1182355233884174,37.54560328650537,8.798604122282818,0.0,,,[2.1182355233884174],[330.34889985  46.34420741   1.        ],1,20,2.900303729982795,0.2082158600723364,0.7513802298788334,24.312156078039017,9.704852426213106,0.5080962418037541,good,False,False,True,False,8.228359551886284
